athlete_id,day,training_age_years,is_rest_day,session_type,duration_min,intensity,rpe,speed_kmh,avg_hr,daily_load,ctl,atl,tsb,acwr,injured
1,0,3.76,False,tempo,62.8,7,7.0,9.3,165.0,231.1,185.51,190.63,-5.12,1.0,0
1,1,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,181.14,165.25,15.89,1.0,0
1,2,3.76,False,tempo,68.7,6,6.0,9.7,138.0,234.5,182.4,174.47,7.93,1.0,0
1,3,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,178.11,151.24,26.87,1.0,0
1,4,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,173.92,131.11,42.81,1.0,0
1,5,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,169.83,113.66,56.17,1.0,0
1,6,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,165.83,98.53,67.3,1.0,0
1,7,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,161.93,85.41,76.52,0.576,0
1,8,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,158.12,74.04,84.08,0.647,0
1,9,3.76,False,long_run,73.4,3,4.0,7.0,105.0,140.0,157.69,82.82,74.88,0.33,0
1,10,3.76,False,intervals,67.0,4,3.0,9.4,151.0,93.5,156.18,84.24,71.94,0.525,0
1,11,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,152.51,73.03,79.48,0.573,0
1,12,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,148.92,63.31,85.61,0.62,0
1,13,3.76,False,race,46.7,9,10.0,,,414.6,155.17,110.07,45.1,1.164,0
1,14,3.76,False,race,83.5,9,9.0,8.1,143.0,638.9,166.55,180.47,-13.92,1.574,0
1,15,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,162.63,156.44,6.19,1.678,0
1,16,3.76,False,long_run,48.2,4,5.0,8.3,153.0,209.4,163.73,163.49,0.24,1.679,0
1,17,3.76,False,tempo,44.9,10,10.0,11.3,155.0,329.8,167.64,185.63,-17.99,1.787,0
1,18,3.76,False,long_run,55.4,8,8.0,7.9,131.0,386.6,172.79,212.38,-39.59,2.006,0
1,19,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,168.72,184.11,-15.38,2.111,0
1,20,3.76,False,long_run,48.5,7,7.0,11.5,147.0,177.6,168.93,183.24,-14.31,1.83,0
1,21,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,164.96,158.85,6.11,1.214,0
1,22,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,161.08,137.7,23.38,1.269,0
1,23,3.76,False,long_run,38.2,9,8.0,12.5,146.0,159.9,161.05,140.65,20.4,1.198,0
1,24,3.76,False,long_run,43.9,8,7.0,14.0,132.0,169.1,161.24,144.44,16.8,1.001,0
1,25,3.76,False,long_run,63.7,9,9.0,6.7,130.0,336.3,165.36,169.98,-4.62,0.889,0
1,26,3.76,False,tempo,33.4,7,6.0,8.8,169.0,98.8,163.79,160.5,3.29,1.003,0
1,27,3.76,False,race,66.7,3,3.0,11.1,134.0,111.5,162.56,153.98,8.58,0.939,0
1,28,3.76,False,easy_run,40.8,8,7.0,10.5,140.0,161.2,162.53,154.94,7.59,1.133,0
1,29,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,158.71,134.32,24.39,1.133,0
1,30,3.76,False,intervals,52.0,4,4.0,12.7,134.0,86.3,157.0,127.93,29.07,1.097,0
1,31,3.76,False,race,30.9,6,,,,71.7,155.0,120.45,34.55,0.966,0
1,32,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,151.35,104.41,46.94,0.591,0
1,33,3.76,False,tempo,62.6,5,6.0,9.7,159.0,221.1,152.99,119.95,33.04,0.685,0
1,34,3.76,False,easy_run,54.1,9,8.0,9.7,175.0,208.0,154.28,131.66,22.62,0.746,0
1,35,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,150.65,114.14,36.52,0.585,0
1,36,3.76,False,race,55.1,2,3.0,10.0,136.0,78.0,148.94,109.32,39.62,0.65,0
1,37,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,145.44,94.77,50.67,0.586,0
1,38,3.76,False,race,21.5,6,7.0,10.5,139.0,76.1,143.81,92.28,51.53,0.593,0
1,39,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,140.42,80.0,60.43,0.593,0
1,40,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,137.12,69.35,67.77,0.368,0
1,41,3.76,False,tempo,72.3,6,7.0,,,278.3,140.44,97.17,43.27,0.455,0
1,42,3.76,False,recovery,71.9,8,7.0,9.1,143.0,222.8,142.38,113.9,28.48,0.775,0
1,43,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,139.03,98.74,40.3,0.683,0
1,44,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,135.76,85.59,50.17,0.728,0
1,45,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,132.57,74.2,58.37,0.705,0
1,46,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,129.45,64.32,65.13,0.816,0
1,47,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,126.4,55.76,70.64,0.816,0
1,48,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,123.43,48.34,75.09,0.391,0
1,49,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,120.52,41.9,78.62,0.0,0
1,50,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,117.69,36.32,81.36,0.0,0
1,51,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,114.92,31.49,83.43,0.0,0
1,52,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,112.21,27.3,84.92,0.0,0
1,53,3.76,False,long_run,56.8,3,3.0,6.9,160.0,69.9,111.22,32.97,78.25,0.166,0
1,54,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,108.6,28.58,80.02,0.176,0
1,55,3.76,True,rest,0.0,0,0.0,0.0,0.0,0.0,106.05,24.78,81.27,0.19,0
1,56,3.76,False,race,64.2,7,6.0,7.7,133.0,173.7,107.64,44.6,63.04,0.656,0
